epoch,accuracy,loss,top-10-accuracy,top-100-accuracy,top-5-accuracy,val_accuracy,val_loss,val_top-10-accuracy,val_top-100-accuracy,val_top-5-accuracy
0,0.541459143,2.732311964,0.734545052,0.867083848,0.685015023,0.859701812,0.672302663,0.959062755,0.990451574,0.940557897
1,0.850587428,0.695300817,0.956925035,0.990126252,0.937618554,0.934026778,0.305057824,0.985034466,0.996702611,0.977268398
2,0.904572248,0.42554903,0.977822602,0.995247722,0.966338038,0.958852649,0.181978256,0.992335796,0.998459518,0.988217235
3,0.931100547,0.294962168,0.987188518,0.997485936,0.979534268,0.973238945,0.115354761,0.996174276,0.999293387,0.993838072
4,0.946703315,0.218876421,0.992168903,0.998633862,0.986748934,0.982144475,0.074974328,0.998134851,0.999688089,0.996829927
5,0.956876636,0.169944957,0.995115459,0.999279261,0.991160631,0.98656857,0.053884327,0.999006987,0.999853611,0.998179436
6,0.964220762,0.13649182,0.996833801,0.999644578,0.993878782,0.990158737,0.038347967,0.999497116,0.999917269,0.998924196
7,0.96898365,0.114655063,0.997903943,0.999810457,0.99559468,0.991177261,0.033345312,0.999751747,0.999974549,0.999452531
8,0.972680986,0.098745793,0.998559237,0.99989742,0.99664253,0.993201494,0.02479877,0.999898136,0.999993622,0.999745369
9,0.975274622,0.087678157,0.998900175,0.999941647,0.997314751,0.993564367,0.022373481,0.999917269,0.999987245,0.999764442
10,0.977348387,0.079476543,0.999120831,0.999968529,0.997740567,0.994856596,0.018457582,0.999929965,0.999987245,0.999783576
11,0.979113042,0.072569251,0.999272525,0.999969602,0.998051405,0.995569527,0.016014921,0.99994272,1,0.999821782
12,0.980428278,0.067330122,0.999372959,0.999979854,0.998290122,0.9959324,0.014543038,0.999955416,1,0.99988544
13,0.981552124,0.062915109,0.999480486,0.999983013,0.998513997,0.996269763,0.013305615,0.999993622,1,0.999910891
14,0.982776463,0.058644012,0.999547005,0.999992907,0.998675227,0.996377945,0.012535485,0.999961793,1,0.999898136
15,0.983706892,0.055289954,0.999581277,0.999994695,0.998794079,0.996562541,0.012020745,0.999974549,1,0.999917269
16,0.984427989,0.052513964,0.999617696,0.999990821,0.998875439,0.996435285,0.012510097,0.999980927,1,0.999910891
17,0.985190451,0.049868841,0.999673247,0.999992907,0.999008,0.996880829,0.010227776,0.999987245,1,0.999955416
18,0.985764027,0.047960747,0.999668658,0.99999541,0.998984337,0.997402847,0.009560741,0.999980927,1,0.999923587
19,0.986306906,0.045748007,0.999697983,0.999992549,0.999125421,0.997491956,0.00843043,0.999987245,1,0.999949098
20,0.986926138,0.043894324,0.999709308,0.999995053,0.999156892,0.997224569,0.009518079,0.999974549,1,0.999923587
21,0.98741591,0.042024069,0.999749959,0.999995053,0.999231517,0.997695625,0.007635522,0.999993622,1,0.999974549
22,0.987850547,0.040330008,0.999761283,0.999996483,0.999265492,0.997854769,0.007645631,0.999993622,1,0.999955416
23,0.988285899,0.039061602,0.999767303,0.999994338,0.999294102,0.997797489,0.007366349,0.999987245,1,0.999961793
24,0.988583684,0.037863348,0.99978143,0.999995053,0.999328792,0.998077571,0.006621171,1,1,0.999968171
